DataHora;Setpoint;Variavel_Controlada;Erro;Variável_Manipulada;Tipo_Controle;Período
18/01/2026 - 20:28:18,082;11,45;3,34;8,11;-4,25;AvançoFase;4,8
18/01/2026 - 20:28:18,506;8,97;3,24;5,73;-1,52;AvançoFase;4,8
18/01/2026 - 20:28:18,928;8;3,26;4,74;3,72;AvançoFase;4,8
18/01/2026 - 20:28:19,351;8,83;3,34;5,49;9,26;AvançoFase;4,8
18/01/2026 - 20:28:19,768;11,19;6,19;5;11,11;AvançoFase;4,8
18/01/2026 - 20:28:20,095;14,31;11,15;3,16;0,82;AvançoFase;4,8
18/01/2026 - 20:28:20,512;16,79;19,55;-2,76;-12,79;AvançoFase;4,8
18/01/2026 - 20:28:20,943;19,18;27,29;-8,11;-21,59;AvançoFase;4,8
18/01/2026 - 20:28:21,377;20;33,59;-13,59;-26,66;AvançoFase;4,8
18/01/2026 - 20:28:21,803;18,98;33,9;-14,92;-26,83;AvançoFase;4,8
18/01/2026 - 20:28:22,123;16,44;33,46;-17,02;-23,63;AvançoFase;4,8
18/01/2026 - 20:28:22,552;14,02;33,57;-19,55;-31,25;AvançoFase;4,8
18/01/2026 - 20:28:23,065;10,13;26,88;-16,75;-10,6;AvançoFase;4,8
18/01/2026 - 20:28:23,382;8,67;16,4;-7,73;5,92;AvançoFase;4,8
18/01/2026 - 20:28:23,795;8,02;10,33;-2,31;22,48;AvançoFase;4,8
18/01/2026 - 20:28:24,125;9,14;13,23;-4,09;2,62;AvançoFase;4,8
18/01/2026 - 20:28:24,550;10,99;23,93;-12,94;-18,17;AvançoFase;4,8
18/01/2026 - 20:28:24,979;15,03;31,12;-16,09;-26,08;AvançoFase;4,8
18/01/2026 - 20:28:25,408;17,37;34,37;-17;-14,55;AvançoFase;4,8
18/01/2026 - 20:28:25,834;19,48;31,88;-12,4;-8,16;AvançoFase;4,8
18/01/2026 - 20:28:26,157;19,94;28,75;-8,81;0,14;AvançoFase;4,8
18/01/2026 - 20:28:26,582;18,55;24,92;-6,37;-0,35;AvançoFase;4,8
18/01/2026 - 20:28:27,009;15,82;23,36;-7,54;-10,06;AvançoFase;4,8
18/01/2026 - 20:28:27,437;13,33;24,03;-10,7;-18,64;AvançoFase;4,8
18/01/2026 - 20:28:27,971;10,27;25,4;-15,13;-25,65;AvançoFase;4,8
18/01/2026 - 20:28:28,185;8,35;25,64;-17,29;-23,58;AvançoFase;4,8
18/01/2026 - 20:28:28,610;8,14;22,14;-14;-4,64;AvançoFase;4,8
18/01/2026 - 20:28:29,032;9,72;16,76;-7,04;12,68;AvançoFase;4,8
18/01/2026 - 20:28:29,456;11,77;12,79;-1,02;22,08;AvançoFase;4,8
18/01/2026 - 20:28:29,880;15,04;14,53;0,51;11,41;AvançoFase;4,8
18/01/2026 - 20:28:30,200;17,98;19,78;-1,8;-3,01;AvançoFase;4,8
18/01/2026 - 20:28:30,734;19,76;33,18;-13,42;-33,84;AvançoFase;4,8
18/01/2026 - 20:28:31,055;19,77;38,24;-18,47;-39,45;AvançoFase;4,8
18/01/2026 - 20:28:31,479;18,61;35,9;-17,29;-19,76;AvançoFase;4,8
18/01/2026 - 20:28:31,908;15,87;29,69;-13,82;-10,14;AvançoFase;4,8
18/01/2026 - 20:28:32,224;12,56;23,71;-11,15;-2,51;AvançoFase;4,8
18/01/2026 - 20:28:32,752;9,72;12,41;-2,69;10,36;AvançoFase;4,8
18/01/2026 - 20:28:33,068;8,14;8,03;0,11;15,52;AvançoFase;4,8
18/01/2026 - 20:28:33,497;8,11;7,12;0,99;10,4;AvançoFase;4,8
18/01/2026 - 20:28:33,923;9,61;12,34;-2,73;-3,25;AvançoFase;4,8
18/01/2026 - 20:28:34,244;12,45;17,79;-5,34;-10,48;AvançoFase;4,8
18/01/2026 - 20:28:34,779;15,76;28,59;-12,83;-21,91;AvançoFase;4,8
18/01/2026 - 20:28:35,206;18,53;33,52;-14,99;-22,81;AvançoFase;4,8
18/01/2026 - 20:28:35,527;19,73;37,69;-17,96;-18,85;AvançoFase;4,8
18/01/2026 - 20:28:35,953;19,79;40,34;-20,55;-31,22;AvançoFase;4,8
18/01/2026 - 20:28:36,381;18,07;36,52;-18,45;-18,93;AvançoFase;4,8
18/01/2026 - 20:28:36,808;15,12;30,77;-15,65;-12,26;AvançoFase;4,8
18/01/2026 - 20:28:37,129;11,82;26,5;-14,68;-9,21;AvançoFase;4,8
18/01/2026 - 20:28:37,541;9,72;20,14;-10,42;-1,16;AvançoFase;4,8
18/01/2026 - 20:28:38,079;8,02;14,05;-6,03;8,79;AvançoFase;4,8
18/01/2026 - 20:28:38,396;8,33;11,11;-2,78;12,45;AvançoFase;4,8
18/01/2026 - 20:28:38,824;10,15;13,7;-3,55;6,08;AvançoFase;4,8
18/01/2026 - 20:28:39,144;13,22;17,93;-4,71;-4,18;AvançoFase;4,8
18/01/2026 - 20:28:39,573;16,48;25,03;-8,55;-12,24;AvançoFase;4,8
18/01/2026 - 20:28:40,000;19,02;31,06;-12,04;-22,87;AvançoFase;4,8
18/01/2026 - 20:28:40,428;19,92;35,32;-15,4;-24,7;AvançoFase;4,8
18/01/2026 - 20:28:40,854;19,53;36,9;-17,37;-27,09;AvançoFase;4,8
18/01/2026 - 20:28:41,174;17,46;35,4;-17,94;-21,23;AvançoFase;4,8
18/01/2026 - 20:28:41,603;14,34;32,25;-17,91;-20,49;AvançoFase;4,8
18/01/2026 - 20:28:42,133;11,1;24,5;-13,4;-4,85;AvançoFase;4,8
18/01/2026 - 20:28:42,450;9,22;14,57;-5,35;7,87;AvançoFase;4,8
18/01/2026 - 20:28:42,872;8,02;9,07;-1,05;17,12;AvançoFase;4,8
18/01/2026 - 20:28:43,191;8,61;11,32;-2,71;3,75;AvançoFase;4,8
18/01/2026 - 20:28:43,619;10,83;19,17;-8,34;-14,59;AvançoFase;4,8
18/01/2026 - 20:28:44,045;14,02;28,6;-14,58;-25,47;AvançoFase;4,8
18/01/2026 - 20:28:44,473;16,45;34,7;-18,25;-23,98;AvançoFase;4,8
18/01/2026 - 20:28:44,900;18,98;34,54;-15,56;-10,1;AvançoFase;4,8
18/01/2026 - 20:28:45,221;20;32,93;-12,93;-7,87;AvançoFase;4,8
18/01/2026 - 20:28:45,753;19,18;27,04;-7,86;-1,99;AvançoFase;4,8
18/01/2026 - 20:28:46,071;16,82;24,4;-7,58;-3,99;AvançoFase;4,8
18/01/2026 - 20:28:46,498;14,38;23,37;-8,99;-14,85;AvançoFase;4,8
18/01/2026 - 20:28:47,033;11,21;24,3;-13,09;-22,04;AvançoFase;4,8
18/01/2026 - 20:28:47,356;8,82;24,2;-15,38;-21,53;AvançoFase;4,8
18/01/2026 - 20:28:47,782;8;23,04;-15,04;-13,1;AvançoFase;4,8
18/01/2026 - 20:28:48,102;9,03;21,63;-12,6;-1,69;AvançoFase;4,8
18/01/2026 - 20:28:48,529;10,85;20,18;-9,33;5,87;AvançoFase;4,8
18/01/2026 - 20:28:48,954;14,88;20,31;-5,43;7,29;AvançoFase;4,8
18/01/2026 - 20:28:49,382;17,21;22,89;-5,68;2,77;AvançoFase;4,8
18/01/2026 - 20:28:49,898;19,41;28,54;-9,13;-10,3;AvançoFase;4,8
18/01/2026 - 20:28:50,095;19,96;31,18;-11,22;-17,69;AvançoFase;4,8
18/01/2026 - 20:28:50,522;19,3;36,49;-17,19;-34,57;AvançoFase;4,8
18/01/2026 - 20:28:50,950;17,01;36,27;-19,26;-24,21;AvançoFase;4,8
18/01/2026 - 20:28:51,464;13,8;33,9;-20,1;-28,85;AvançoFase;4,8
18/01/2026 - 20:28:51,783;10,77;28,14;-17,37;-15,4;AvançoFase;4,8
18/01/2026 - 20:28:52,103;8,59;21,81;-13,22;0,98;AvançoFase;4,8
18/01/2026 - 20:28:52,525;8;11,98;-3,98;22,21;AvançoFase;4,8
18/01/2026 - 20:28:53,056;9,27;9,88;-0,61;16,68;AvançoFase;4,8
18/01/2026 - 20:28:53,378;11,16;16,95;-5,79;-0,82;AvançoFase;4,8
18/01/2026 - 20:28:53,804;14,42;26,32;-11,9;-20,73;AvançoFase;4,8
18/01/2026 - 20:28:54,125;17,53;32,37;-14,84;-27,4;AvançoFase;4,8
18/01/2026 - 20:28:54,510;19,18;33,75;-14,57;-13,01;AvançoFase;4,8
18/01/2026 - 20:28:54,943;19,96;30,93;-10,97;-4,96;AvançoFase;4,8
18/01/2026 - 20:28:55,372;19,14;25,22;-6,08;0,61;AvançoFase;4,8
18/01/2026 - 20:28:55,903;16,66;20,4;-3,74;0,45;AvançoFase;4,8
18/01/2026 - 20:28:56,222;13,42;17,92;-4,5;-4,05;AvançoFase;4,8
18/01/2026 - 20:28:56,539;11,05;15,08;-4,03;-5,56;AvançoFase;4,8
18/01/2026 - 20:28:56,961;8,39;12,6;-4,21;-1,69;AvançoFase;4,8
18/01/2026 - 20:28:57,385;8,01;11,7;-3,69;0,71;AvançoFase;4,8
18/01/2026 - 20:28:57,807;9,06;12,9;-3,84;1,49;AvançoFase;4,8
18/01/2026 - 20:28:58,120;11,59;14,24;-2,65;2,98;AvançoFase;4,8
18/01/2026 - 20:28:58,654;14,02;15,96;-1,94;5,28;AvançoFase;4,8
18/01/2026 - 20:28:58,973;17,86;18,49;-0,63;2,5;AvançoFase;4,8
18/01/2026 - 20:28:59,407;19,38;22,76;-3,38;-3,11;AvançoFase;4,8
18/01/2026 - 20:28:59,834;19,96;27,47;-7,51;-17,57;AvançoFase;4,8
18/01/2026 - 20:29:00,149;18,72;29,62;-10,9;-23,9;AvançoFase;4,8
18/01/2026 - 20:29:00,584;16,01;29,7;-13,69;-23,9;AvançoFase;4,8
18/01/2026 - 20:29:01,114;12,7;27,21;-14,51;-19,7;AvançoFase;4,8
18/01/2026 - 20:29:01,434;10,44;20,55;-10,11;-8,59;AvançoFase;4,8
18/01/2026 - 20:29:01,856;8,43;11,47;-3,04;16,52;AvançoFase;4,8
18/01/2026 - 20:29:02,174;8,09;9,61;-1,52;14,32;AvançoFase;4,8
18/01/2026 - 20:29:02,601;9,52;15,18;-5,66;-5,72;AvançoFase;4,8
18/01/2026 - 20:29:03,133;12,33;24,73;-12,4;-24,04;AvançoFase;4,8
18/01/2026 - 20:29:03,455;14,8;31,27;-16,47;-30,72;AvançoFase;4,8
18/01/2026 - 20:29:03,882;17,84;34,06;-16,22;-15,09;AvançoFase;4,8
18/01/2026 - 20:29:04,203;19,7;33,26;-13,56;-7,69;AvançoFase;4,8
18/01/2026 - 20:29:04,631;19,82;30,5;-10,68;-5,19;AvançoFase;4,8
18/01/2026 - 20:29:05,056;18,16;25,89;-7,73;-1,72;AvançoFase;4,8
18/01/2026 - 20:29:05,479;16,05;23,34;-7,29;-8,44;AvançoFase;4,8
18/01/2026 - 20:29:05,908;12,78;23,49;-10,71;-18,59;AvançoFase;4,8
18/01/2026 - 20:29:06,338;9,85;24,12;-14,27;-22,54;AvançoFase;4,8
18/01/2026 - 20:29:06,759;8,18;23,93;-15,75;-18,7;AvançoFase;4,8
18/01/2026 - 20:29:07,082;8,28;22,58;-14,3;-7,03;AvançoFase;4,8
18/01/2026 - 20:29:07,511;9,52;20,24;-10,72;4,27;AvançoFase;4,8
18/01/2026 - 20:29:08,041;12,35;18,69;-6,34;10,41;AvançoFase;4,8
18/01/2026 - 20:29:08,363;15,65;19,33;-3,68;9,86;AvançoFase;4,8
18/01/2026 - 20:29:08,790;18,45;23,91;-5,46;-0,34;AvançoFase;4,8
18/01/2026 - 20:29:09,111;19,91;29,12;-9,21;-19,12;AvançoFase;4,8
18/01/2026 - 20:29:09,528;19,82;34,63;-14,81;-30,79;AvançoFase;4,8
18/01/2026 - 20:29:09,945;17,57;35,85;-18,28;-31,51;AvançoFase;4,8
18/01/2026 - 20:29:10,348;15,23;35,28;-20,05;-31,65;AvançoFase;4,8
18/01/2026 - 20:29:10,785;12,2;30,36;-18,16;-19,63;AvançoFase;4,8
18/01/2026 - 20:29:11,100;9,44;24,75;-15,31;-5,54;AvançoFase;4,8
18/01/2026 - 20:29:11,632;8,25;14,83;-6,58;14,84;AvançoFase;4,8
18/01/2026 - 20:29:11,950;8,49;9,45;-0,96;21,27;AvançoFase;4,8
18/01/2026 - 20:29:12,375;9,91;14,12;-4,21;6,01;AvançoFase;4,8
18/01/2026 - 20:29:12,801;12,83;23,39;-10,56;-16,21;AvançoFase;4,8
18/01/2026 - 20:29:13,122;16,14;31,77;-15,63;-35,13;AvançoFase;4,8
18/01/2026 - 20:29:13,548;18,23;34,66;-16,43;-17,53;AvançoFase;4,8
18/01/2026 - 20:29:13,973;19,98;32,19;-12,21;-5,02;AvançoFase;4,8
18/01/2026 - 20:29:14,403;19,69;26,67;-6,98;0,46;AvançoFase;4,8
18/01/2026 - 20:29:14,825;17,78;21,66;-3,88;2,58;AvançoFase;4,8
18/01/2026 - 20:29:15,135;14,78;19,55;-4,77;-4,84;AvançoFase;4,8
18/01/2026 - 20:29:15,571;11,58;18,17;-6,59;-11,15;AvançoFase;4,8
18/01/2026 - 20:29:15,993;8,99;17,37;-8,38;-11,91;AvançoFase;4,8
18/01/2026 - 20:29:16,523;8,09;15,38;-7,29;-6,66;AvançoFase;4,8
18/01/2026 - 20:29:16,840;8,44;12,13;-3,69;5,81;AvançoFase;4,8
18/01/2026 - 20:29:17,158;10,46;10,88;-0,42;14,06;AvançoFase;4,8
18/01/2026 - 20:29:17,582;13,54;12,8;0,74;9,22;AvançoFase;4,8
18/01/2026 - 20:29:18,009;16,77;17,94;-1,17;-1,9;AvançoFase;4,8
18/01/2026 - 20:29:18,437;18,69;26,43;-7,74;-15,58;AvançoFase;4,8
18/01/2026 - 20:29:18,863;19,96;31,23;-11,27;-22,43;AvançoFase;4,8
18/01/2026 - 20:29:19,184;19,42;34,77;-15,35;-26,85;AvançoFase;4,8
18/01/2026 - 20:29:19,612;17,22;35,29;-18,07;-28,48;AvançoFase;4,8
18/01/2026 - 20:29:20,145;14,03;31,78;-17,75;-20,21;AvançoFase;4,8
18/01/2026 - 20:29:20,465;11,59;25,77;-14,18;-9,65;AvançoFase;4,8
18/01/2026 - 20:29:20,888;9,05;16,3;-7,25;9,16;AvançoFase;4,8
18/01/2026 - 20:29:21,206;8,01;10,36;-2,35;20,23;AvançoFase;4,8
18/01/2026 - 20:29:21,628;8,76;11,93;-3,17;4,62;AvançoFase;4,8
18/01/2026 - 20:29:22,055;11,08;21,13;-10,05;-19,23;AvançoFase;4,8
18/01/2026 - 20:29:22,483;13,47;28,96;-15,49;-23,58;AvançoFase;4,8
18/01/2026 - 20:29:22,893;16,72;33,18;-16,46;-14,89;AvançoFase;4,8
18/01/2026 - 20:29:23,214;19,14;33,86;-14,72;-10,68;AvançoFase;4,8
18/01/2026 - 20:29:23,746;20;31,5;-11,5;-9,01;AvançoFase;4,8
18/01/2026 - 20:29:24,067;19,1;27,61;-8,51;-1,67;AvançoFase;4,8
18/01/2026 - 20:29:24,494;17,38;23,41;-6,03;-3,22;AvançoFase;4,8
18/01/2026 - 20:29:24,920;14,24;22,01;-7,77;-12,44;AvançoFase;4,8
18/01/2026 - 20:29:25,242;11,02;22,42;-11,4;-18,95;AvançoFase;4,8
18/01/2026 - 20:29:25,882;8,71;23,1;-14,39;-20,56;AvançoFase;4,8
18/01/2026 - 20:29:26,096;8,01;22,5;-14,49;-12,18;AvançoFase;4,8
18/01/2026 - 20:29:26,629;8,69;21,15;-12,46;-1,89;AvançoFase;4,8
18/01/2026 - 20:29:26,949;10,99;20,8;-9,81;3,82;AvançoFase;4,8
18/01/2026 - 20:29:27,377;14,19;23,19;-9;2,69;AvançoFase;4,8
18/01/2026 - 20:29:27,804;17,35;27,41;-10,06;-7,48;AvançoFase;4,8
18/01/2026 - 20:29:28,125;19,48;29,79;-10,31;-6,98;AvançoFase;4,8
18/01/2026 - 20:29:28,553;20;33,03;-13,03;-18,51;AvançoFase;4,8
18/01/2026 - 20:29:28,979;18,57;35,23;-16,66;-27,17;AvançoFase;4,8
18/01/2026 - 20:29:29,496;16,62;33,32;-16,7;-26,51;AvançoFase;4,8
18/01/2026 - 20:29:29,816;13,49;31,67;-18,18;-22,75;AvançoFase;4,8
18/01/2026 - 20:29:30,135;10,4;27,37;-16,97;-13,81;AvançoFase;4,8
18/01/2026 - 20:29:30,560;8,76;18,85;-10,09;5,03;AvançoFase;4,8
18/01/2026 - 20:29:30,983;8,11;10,24;-2,13;22,64;AvançoFase;4,8
18/01/2026 - 20:29:31,407;9,06;11,2;-2,14;15;AvançoFase;4,8
18/01/2026 - 20:29:31,834;11,59;19,91;-8,32;-7,14;AvançoFase;4,8
18/01/2026 - 20:29:32,154;14,86;25,14;-10,28;-16,52;AvançoFase;4,8
18/01/2026 - 20:29:32,669;17,88;32,56;-14,68;-21,5;AvançoFase;4,8
18/01/2026 - 20:29:32,991;19,67;32,95;-13,28;-12,8;AvançoFase;4,8
18/01/2026 - 20:29:33,419;19,98;30,11;-10,13;-6,43;AvançoFase;4,8
18/01/2026 - 20:29:33,844;18,79;25,54;-6,75;-3,38;AvançoFase;4,8
18/01/2026 - 20:29:34,164;16,14;22,71;-6,57;-3,89;AvançoFase;4,8
18/01/2026 - 20:29:34,591;12,85;20,71;-7,86;-10,9;AvançoFase;4,8
18/01/2026 - 20:29:35,017;9,9;19,9;-10;-14,92;AvançoFase;4,8
18/01/2026 - 20:29:35,549;8,48;19,17;-10,69;-12,7;AvançoFase;4,8
18/01/2026 - 20:29:35,867;8,07;17,76;-9,69;-3,24;AvançoFase;4,8
18/01/2026 - 20:29:36,184;9,46;16,25;-6,79;4,52;AvançoFase;4,8
18/01/2026 - 20:29:36,611;12,2;14,58;-2,38;12,55;AvançoFase;4,8
18/01/2026 - 20:29:37,033;15,5;14,55;0,95;13,34;AvançoFase;4,8
18/01/2026 - 20:29:37,460;17,71;17,4;0,31;4,39;AvançoFase;4,8
18/01/2026 - 20:29:37,993;19,64;23,21;-3,57;-11,88;AvançoFase;4,8
18/01/2026 - 20:29:38,206;19,87;28,71;-8,84;-25,22;AvançoFase;4,8
18/01/2026 - 20:29:38,740;18,3;33,2;-14,9;-32,61;AvançoFase;4,8
18/01/2026 - 20:29:39,061;15,42;35,4;-19,98;-33,82;AvançoFase;4,8
18/01/2026 - 20:29:39,489;12,93;32,64;-19,71;-25,33;AvançoFase;4,8
18/01/2026 - 20:29:39,915;9,96;25,94;-15,98;-8,32;AvançoFase;4,8
18/01/2026 - 20:29:40,232;8,22;18,35;-10,13;8,61;AvançoFase;4,8
18/01/2026 - 20:29:40,867;8,24;10,28;-2,04;23,63;AvançoFase;4,8
18/01/2026 - 20:29:41,080;9,97;13,82;-3,85;2,81;AvançoFase;4,8
18/01/2026 - 20:29:41,615;12,12;24,05;-11,93;-19,6;AvançoFase;4,8
18/01/2026 - 20:29:41,934;15,42;30,49;-15,07;-15,72;AvançoFase;4,8
18/01/2026 - 20:29:42,361;18,3;32,1;-13,8;-16,03;AvançoFase;4,8
18/01/2026 - 20:29:42,789;19,87;29,51;-9,64;-4,41;AvançoFase;4,8
18/01/2026 - 20:29:43,108;19,64;26,35;-6,71;1,08;AvançoFase;4,8
18/01/2026 - 20:29:43,533;18,32;23,05;-4,73;-2,77;AvançoFase;4,8
18/01/2026 - 20:29:43,960;14,66;22,33;-7,67;-13,73;AvançoFase;4,8
18/01/2026 - 20:29:44,495;12,18;23,36;-11,18;-20,09;AvançoFase;4,8
18/01/2026 - 20:29:44,815;9,42;23,3;-13,88;-21,57;AvançoFase;4,8
18/01/2026 - 20:29:45,241;8,06;22,11;-14,05;-12,65;AvançoFase;4,8
18/01/2026 - 20:29:45,556;8,23;19,03;-10,8;0,77;AvançoFase;4,8
18/01/2026 - 20:29:45,981;10,6;16,13;-5,53;10,83;AvançoFase;4,8
18/01/2026 - 20:29:46,405;12,9;14,53;-1,63;15,24;AvançoFase;4,8
18/01/2026 - 20:29:46,829;16,14;15,69;0,45;12,51;AvançoFase;4,8
18/01/2026 - 20:29:47,257;18,78;19,2;-0,42;0,14;AvançoFase;4,8
18/01/2026 - 20:29:47,579;19,98;26,08;-6,1;-18,7;AvançoFase;4,8
18/01/2026 - 20:29:47,987;19,34;31,71;-12,37;-30,38;AvançoFase;4,8
18/01/2026 - 20:29:48,398;17,88;35,25;-17,37;-30,4;AvançoFase;4,8
18/01/2026 - 20:29:48,824;14,99;33,35;-18,36;-30,27;AvançoFase;4,8
18/01/2026 - 20:29:49,145;11,7;30,9;-19,2;-22;AvançoFase;4,8
18/01/2026 - 20:29:49,561;9,11;22,83;-13,72;-2,42;AvançoFase;4,8
18/01/2026 - 20:29:49,987;8,01;12,4;-4,39;21,13;AvançoFase;4,8
18/01/2026 - 20:29:50,513;8,36;11,52;-3,16;17,02;AvançoFase;4,8
18/01/2026 - 20:29:50,829;10,27;19,35;-9,08;-7,81;AvançoFase;4,8
18/01/2026 - 20:29:51,162;13,35;27,14;-13,79;-28,36;AvançoFase;4,8
18/01/2026 - 20:29:51,591;16,62;33,13;-16,51;-22,92;AvançoFase;4,8
18/01/2026 - 20:29:52,018;19,09;31,86;-12,77;-6,21;AvançoFase;4,8
18/01/2026 - 20:29:52,445;19,94;26,43;-6,49;4,88;AvançoFase;4,8
18/01/2026 - 20:29:52,871;19,48;21,66;-2,18;6,16;AvançoFase;4,8
18/01/2026 - 20:29:53,190;17,35;20,1;-2,75;-1,72;AvançoFase;4,8
18/01/2026 - 20:29:53,618;14,21;20,6;-6,39;-14,69;AvançoFase;4,8
18/01/2026 - 20:29:54,151;11;22,99;-11,99;-25,05;AvançoFase;4,8
18/01/2026 - 20:29:54,472;9,15;23,39;-14,24;-21,69;AvançoFase;4,8
18/01/2026 - 20:29:54,896;8,01;20,83;-12,82;-7,18;AvançoFase;4,8
18/01/2026 - 20:29:55,214;8,69;17,81;-9,12;4,28;AvançoFase;4,8
18/01/2026 - 20:29:55,742;10,98;12,62;-1,64;17,65;AvançoFase;4,8
18/01/2026 - 20:29:56,060;14,16;11,96;2,2;18,95;AvançoFase;4,8
18/01/2026 - 20:29:56,594;16,55;15,42;1,13;6,53;AvançoFase;4,8
18/01/2026 - 20:29:56,913;19,04;23,22;-4,18;-15,29;AvançoFase;4,8
18/01/2026 - 20:29:57,340;20;30,04;-10,04;-29,4;AvançoFase;4,8
18/01/2026 - 20:29:57,768;19,13;33,72;-14,59;-27,88;AvançoFase;4,8
18/01/2026 - 20:29:58,089;16,7;32,03;-15,33;-22,05;AvançoFase;4,8
18/01/2026 - 20:29:58,514;14,29;26,29;-12;-10,48;AvançoFase;4,8
18/01/2026 - 20:29:58,937;11,07;16,85;-5,78;6,34;AvançoFase;4,8
18/01/2026 - 20:29:59,360;8,75;10,09;-1,34;16,73;AvançoFase;4,8
18/01/2026 - 20:29:59,892;8,01;13,79;-5,78;-1,01;AvançoFase;4,8
18/01/2026 - 20:30:00,104;9,06;19,63;-10,57;-19,14;AvançoFase;4,8
18/01/2026 - 20:30:00,532;10,87;28,19;-17,32;-26,25;AvançoFase;4,8
18/01/2026 - 20:30:00,960;14,9;34,11;-19,21;-17;AvançoFase;4,8
18/01/2026 - 20:30:01,388;17,25;36,23;-18,98;-16,59;AvançoFase;4,8
18/01/2026 - 20:30:01,814;19,43;34,84;-15,41;-9,44;AvançoFase;4,8
18/01/2026 - 20:30:02,118;19,96;33,03;-13,07;-7,7;AvançoFase;4,8
18/01/2026 - 20:30:02,546;19,22;29,58;-10,36;-6,33;AvançoFase;4,8
18/01/2026 - 20:30:02,971;16,07;25,53;-9,46;-8,06;AvançoFase;4,8
18/01/2026 - 20:30:03,397;13,62;22,87;-9,25;-9,99;AvançoFase;4,8
18/01/2026 - 20:30:03,824;10,51;21,97;-11,46;-14,97;AvançoFase;4,8
18/01/2026 - 20:30:04,144;8,46;21,89;-13,43;-15,62;AvançoFase;4,8
18/01/2026 - 20:30:04,571;8,08;21,47;-13,39;-10,06;AvançoFase;4,8
18/01/2026 - 20:30:04,996;9,51;21,35;-11,84;-3,91;AvançoFase;4,8
18/01/2026 - 20:30:05,426;11,51;22,35;-10,84;-0,77;AvançoFase;4,8
18/01/2026 - 20:30:05,852;14,72;24,89;-10,17;-3,24;AvançoFase;4,8
18/01/2026 - 20:30:06,174;17,82;27,81;-9,99;-7,21;AvançoFase;4,8
18/01/2026 - 20:30:06,600;19,7;30,48;-10,78;-14,9;AvançoFase;4,8
18/01/2026 - 20:30:07,029;19,82;32,1;-12,28;-17,03;AvançoFase;4,8
18/01/2026 - 20:30:07,430;18,73;32,2;-13,47;-19,81;AvançoFase;4,8
18/01/2026 - 20:30:07,846;16,2;32,47;-16,27;-25,51;AvançoFase;4,8
18/01/2026 - 20:30:08,167;13,09;32,5;-19,41;-27,83;AvançoFase;4,8
18/01/2026 - 20:30:08,593;10,03;29,33;-19,3;-20,9;AvançoFase;4,8
18/01/2026 - 20:30:09,122;8,26;22,98;-14,72;-3,4;AvançoFase;4,8
18/01/2026 - 20:30:09,441;8,05;14,01;-5,96;12,43;AvançoFase;4,8
18/01/2026 - 20:30:09,865;9,28;8,39;0,89;26,37;AvançoFase;4,8
18/01/2026 - 20:30:10,181;12;10,37;1,63;14,37;AvançoFase;4,8
18/01/2026 - 20:30:10,609;15,28;19,62;-4,34;-11,05;AvançoFase;4,8
18/01/2026 - 20:30:11,037;18,2;28,33;-10,13;-24,47;AvançoFase;4,8
18/01/2026 - 20:30:11,463;19,57;31,43;-11,86;-20,78;AvançoFase;4,8
18/01/2026 - 20:30:11,891;19,89;29,44;-9,55;-9,05;AvançoFase;4,8
18/01/2026 - 20:30:12,211;18,41;26,23;-7,82;-5,4;AvançoFase;4,8
18/01/2026 - 20:30:12,740;15,6;19,12;-3,52;-0,7;AvançoFase;4,8
18/01/2026 - 20:30:13,057;12,36;15,1;-2,74;1,22;AvançoFase;4,8
18/01/2026 - 20:30:13,481;10,14;11,12;-0,98;2,19;AvançoFase;4,8
18/01/2026 - 20:30:13,904;8,3;10,07;-1,77;-0,01;AvançoFase;4,8
18/01/2026 - 20:30:14,222;8,17;10,88;-2,71;-1,35;AvançoFase;4,8
18/01/2026 - 20:30:14,750;9,78;12,89;-3,11;0,58;AvançoFase;4,8
18/01/2026 - 20:30:15,068;12,65;13,88;-1,23;5,2;AvançoFase;5
18/01/2026 - 20:30:15,493;15,09;15,72;-0,63;6,27;AvançoFase;5
18/01/2026 - 20:30:16,026;17,93;19,43;-1,5;-1,43;AvançoFase;5
18/01/2026 - 20:30:16,241;19,7;24,21;-4,51;-11,81;AvançoFase;5
18/01/2026 - 20:30:16,757;19,86;29,87;-10,01;-20,19;AvançoFase;5
18/01/2026 - 20:30:17,078;18,46;32,18;-13,72;-25,29;AvançoFase;5
18/01/2026 - 20:30:17,506;16,53;33,02;-16,49;-29,27;AvançoFase;5
18/01/2026 - 20:30:17,932;13,38;31,47;-18,09;-26,36;AvançoFase;5
18/01/2026 - 20:30:18,358;10,42;24,94;-14,52;-12,29;AvançoFase;5
18/01/2026 - 20:30:18,887;8,46;15,02;-6,56;7,1;AvançoFase;5
18/01/2026 - 20:30:19,205;8,06;10,24;-2,18;21,3;AvançoFase;5
18/01/2026 - 20:30:19,524;8,84;13,57;-4,73;0,13;AvançoFase;5
18/01/2026 - 20:30:19,951;11,1;23,34;-12,24;-21,37;AvançoFase;5
18/01/2026 - 20:30:20,378;14,2;31,28;-17,08;-29,78;AvançoFase;5
18/01/2026 - 20:30:20,806;17,25;31,73;-14,48;-13,93;AvançoFase;5
18/01/2026 - 20:30:21,127;19,37;30,41;-11,04;-3,04;AvançoFase;5
18/01/2026 - 20:30:21,553;19,98;25,94;-5,96;4,83;AvançoFase;5
18/01/2026 - 20:30:22,084;18,91;22,15;-3,24;3,47;AvançoFase;5
